Trial,Average Fitness,Average Distance,Best Fitness,Best Distance,Best Route,Worst Fitness,Worst Distance,Worst Route
277001,2.3526143119408406E-6,431803.7240688435,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.7910725260443358E-6,558324.6828136798,I-A-B-M-G-E-H-L-F-J-K-D-C-I
278001,1.967799373198664E-6,512376.05685067095,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.864471698818359E-6,536344.9606844487,A-B-I-M-L-E-H-F-J-C-K-D-G-A
279001,3.025321228553973E-6,330839.14784510405,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.9639442087653184E-6,337388.2669730032,I-A-B-M-G-E-H-L-C-J-K-D-F-I
280001,2.010561939028849E-6,505509.45728826453,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.7865934410334764E-6,559724.4325611864,F-A-L-M-G-E-H-I-J-C-K-D-B-F
281001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
282001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
283001,2.46010199061483E-6,409030.8363146428,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.1748798424020358E-6,459795.5162872606,I-A-B-M-E-H-L-J-G-C-K-D-F-I
284001,2.9027562057533264E-6,345470.13584493386,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.792735370749455E-6,358071.87837193516,F-A-B-M-G-E-L-H-J-C-K-D-I-F
285001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
286001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
287001,3.1619345951803325E-6,316262.07623784395,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I
288001,2.6973785118638147E-6,371305.66401549545,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.6349995162636857E-6,379506.71103650006,B-A-I-M-G-E-H-L-J-C-K-D-F-B
289001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
290001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
291001,1.9730931206870456E-6,517630.2675480193,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,1.6645842631472091E-6,600750.6031021297,I-A-M-G-E-B-L-J-F-C-K-D-H-I
292001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
293001,2.786530566310041E-6,359291.0101129119,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.756850343663704E-6,362732.78391711845,A-F-B-M-G-E-H-L-J-C-K-D-I-A
294001,2.930751364062606E-6,341370.9897819584,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.897542216411236E-6,345120.0794715442,F-M-B-A-G-E-H-L-J-C-K-D-I-F
295001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
296001,2.667108683360571E-6,375936.9822773428,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.608965543205931E-6,383293.6784481971,B-A-F-M-G-E-H-L-J-C-K-D-I-B
297001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
298001,2.6781522955351634E-6,375875.1763576254,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.548377894856363E-6,392406.48022351647,F-A-B-M-G-E-J-L-H-C-K-D-I-F
299001,3.1257627966786868E-6,319922.12151896197,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,3.1255810288470295E-6,319940.513706305,F-A-B-M-G-E-H-L-J-C-K-D-I-F
300001,2.4756512108604988E-6,410914.5479024353,3.1619345951803325E-6,316262.0762378444,I-A-B-M-G-E-H-L-J-C-K-D-F-I,2.07803140575055E-6,481224.680836244,I-A-B-M-G-E-H-L-D-J-K-C-F-I
